Date,United States,North East,Mid West,South,West
2014-01-01,53.7,5.2,8.0,30.3,10.3
2014-02-01,55.1,6.0,8.7,30.3,10.1
2014-03-01,56.6,5.9,8.8,31.5,10.3
2014-04-01,56.4,6.1,8.3,33.4,8.6
2014-05-01,56.7,5.9,8.2,32.3,10.3
2014-06-01,59.9,6.0,7.7,35.3,11.0
2014-07-01,60.0,6.3,7.5,36.5,9.8
2014-08-01,57.9,5.7,7.6,34.9,9.6
2014-09-01,58.1,5.9,6.9,35.5,9.8
2014-10-01,58.8,5.8,8.1,34.6,10.4
2014-11-01,55.3,5.6,6.6,33.3,9.8
2014-12-01,56.1,6.0,6.0,33.6,10.5
2015-01-01,56.5,5.9,6.2,34.4,10.1
2015-02-01,60.8,6.9,6.9,36.5,10.6
2015-03-01,65.9,7.0,8.9,37.3,12.8
2015-04-01,66.6,6.3,8.2,39.9,12.1
2015-05-01,65.8,5.8,8.1,39.3,12.7
2015-06-01,68.6,7.1,9.2,38.8,13.5
2015-07-01,66.7,6.5,8.9,38.6,12.7
2015-08-01,63.8,6.3,9.3,35.2,13.0
2015-09-01,63.6,6.9,9.4,34.3,13.0
2015-10-01,65.3,6.3,8.7,37.0,13.3
2015-11-01,60.2,5.5,7.6,34.7,12.3
2015-12-01,63.6,5.9,8.4,35.8,13.5
2016-01-01,66.1,5.5,8.8,38.1,13.8
2016-02-01,62.4,5.8,7.8,35.3,13.5
2016-03-01,70.1,6.0,10.6,38.8,14.7
2016-04-01,68.2,6.2,8.2,37.7,16.1
2016-05-01,70.4,6.4,9.0,37.9,17.0
2016-06-01,72.8,5.4,9.0,39.3,19.2
2016-07-01,64.9,5.2,7.7,35.1,16.8
2016-08-01,71.6,5.4,9.3,39.8,17.0
2016-09-01,71.4,5.9,10.3,38.8,16.3
2016-10-01,64.6,5.4,8.9,35.6,14.6
2016-11-01,61.3,5.4,6.8,33.3,15.8
2016-12-01,66.6,5.3,7.0,37.0,17.4
2017-01-01,67.9,5.6,6.7,38.1,17.5
2017-02-01,69.9,5.2,7.6,39.3,17.8
2017-03-01,82.8,5.2,10.8,46.5,20.3
2017-04-01,78.3,5.6,10.4,43.2,19.0
2017-05-01,83.6,6.6,9.5,47.1,20.5
2017-06-01,85.3,6.7,9.9,47.3,21.4
2017-07-01,77.8,5.4,8.9,44.5,19.0
2017-08-01,81.0,5.3,10.5,44.7,20.5
2017-09-01,78.4,5.2,10.1,44.8,18.3
2017-10-01,78.0,4.8,8.8,44.1,20.2
2017-11-01,75.4,4.8,7.9,43.2,19.6
2017-12-01,80.1,5.2,8.0,45.9,21.0
2018-01-01,85.8,5.6,8.5,48.9,22.8
2018-02-01,86.9,6.5,10.3,48.8,21.3
2018-03-01,93.9,7.0,11.8,53.9,21.2
2018-04-01,91.1,6.8,13.8,50.0,20.5
2018-05-01,92.8,7.5,12.8,49.7,22.8
2018-06-01,95.4,8.0,13.2,51.8,22.4
2018-07-01,94.4,8.2,11.2,52.9,22.1
2018-08-01,95.4,7.6,12.8,52.5,22.6
2018-09-01,89.2,7.3,10.4,52.1,19.4
2018-10-01,88.4,6.4,10.2,55.0,16.8
2018-11-01,94.8,6.2,10.0,59.3,19.3
2018-12-01,96.9,6.2,10.0,58.4,22.4
2019-01-01,93.8,5.6,9.9,55.2,23.0
2019-02-01,94.4,6.9,9.7,54.7,23.1
2019-03-01,92.5,6.4,12.0,51.0,23.1
2019-04-01,88.5,5.8,12.1,49.8,20.9
2019-05-01,93.4,6.5,12.5,51.1,23.3
2019-06-01,90.5,7.2,11.6,49.1,22.6
2019-07-01,88.3,7.0,9.2,49.8,22.4
2019-08-01,87.1,6.4,7.9,51.7,21.1
2019-09-01,81.1,5.1,7.9,47.9,20.1
2019-10-01,87.0,6.1,9.0,50.4,21.5
2019-11-01,86.4,6.6,8.2,50.9,20.7
2019-12-01,84.6,5.6,8.0,47.8,23.2
2020-01-01,89.1,5.7,9.0,51.6,22.8
2020-02-01,87.2,6.1,9.4,46.0,25.7
2020-03-01,91.6,7.7,8.8,50.5,24.5
2020-04-01,93.8,7.9,8.8,51.7,25.3
2020-05-01,95.4,8.9,8.7,54.1,23.6
2020-06-01,93.7,8.6,8.2,52.9,24.1
2020-07-01,96.4,7.3,8.6,55.9,24.6
2020-08-01,97.1,7.6,6.9,58.0,24.7
2020-09-01,102.7,9.8,8.8,58.7,25.4
2020-10-01,102.9,10.2,8.5,59.4,24.9
2020-11-01,99.2,11.1,8.6,57.5,22.1
2020-12-01,101.0,11.1,7.0,58.9,24.1
2021-01-01,109.7,11.0,7.7,64.2,26.8
2021-02-01,119.1,12.4,11.1,68.6,27.0
2021-03-01,135.9,12.3,14.3,78.7,30.7
2021-04-01,148.5,12.6,17.4,85.1,33.4
2021-05-01,149.7,12.5,13.9,91.3,32.0
2021-06-01,155.5,11.4,14.8,96.3,33.0
2021-07-01,148.5,11.8,12.1,94.1,30.6
2021-08-01,149.0,11.6,12.6,91.2,33.6
2021-09-01,145.2,10.6,12.3,90.5,31.8
2021-10-01,147.4,11.4,12.9,92.0,31.1
2021-11-01,139.4,11.8,13.3,85.4,28.9
2021-12-01,140.9,12.6,11.8,84.7,31.6
